"id","candidato_id","sector","precision","viabilidad","coherencia","subtitulo","resumen"
"rs-001","cepeda","Seguridad","Media-baja","Media-baja","Media","Continuidad de una política fallida sin autocrítica","El candidato del Pacto Histórico, que fue el arquitecto de la Paz Total, centra su propuesta en la “seguridad humana”, que significa atacar las causas de la violencia como la desigualdad, la pobreza y la exclusión con diferentes programas sociales. 
Cepeda busca reenfocar la política de drogas y crear un “acuerdo nacional” —que puede terminar en una Constituyente— que incluiría la implementación del Acuerdo de Paz con las FARC y mantener las negociaciones con grupos armados que siguen activas. Es decir, le apunta a continuar con la Paz Total, pero con ajustes. Por ahora, esos ajustes se limitan a dos condiciones: primero, mientras estén sentados con el gobierno, los grupos armados no pueden atacar a la población civil; segundo, no pueden supeditar los avances en la negociación a que se resuelvan los problemas estructurales del país. 
Los ajustes a la Paz Total que propone son insuficientes. En primer lugar, porque es una política fallida sin una estrategia de control efectivo de los grupos armados ilegales en expansión que se han fortalecido al punto de sumar veintisiete mil combatientes ―casi el doble que al inicio del gobierno Petro― y trece zonas del país en disputa armada. Es una política que ha subestimado la capacidad armada y financiera de los grupos, así como su interés en mantener la gobernanza criminal en los territorios y su participación en las economías ilegales. 
En segundo lugar, estos ajustes son insuficientes porque el candidato busca mantener las mesas de negociación que siguen activas, incluso cuando en ellas hay disidentes del Acuerdo de Paz de 2016 con las FARC. Por ejemplo, el jefe negociador de la Coordinadora Nacional Ejército Bolivariano es un disidente del Acuerdo, y la Constitución prohíbe la aplicación de instrumentos de justicia transicional a miembros de grupos al márgen de la ley que, una vez desmovilizados, continúan delinquiendo. "
"rs-002","espriella","Seguridad","Media","Media-baja","Media","Seguridad con riesgos de autoritarismo","De la Espriella promete acabar con la Paz Total y, en lugar de seguir con las negociaciones, recuperar los territorios que están bajo el control de los grupos armados reforzando la presencia militar.
Su política de seguridad incluye, entre otros puntos, bombardear campamentos, fumigar con bioherbicidas y sacar noventa decretos de emergencia en noventa días como la fórmula para una recuperación rápida del orden público. También quiere eliminar la Jurisdicción Especial para la Paz (JEP), promover un referendo para que en Colombia haya cadena perpetua para violadores y abusadores de niños y niñas y construir megacárceles al estilo de las de Nayib Bukele en El Salvador. 
Bombardear campamentos es una propuesta que debe hacerse respetando el principio de distinción entre civiles y combatientes que estipula el Derecho Internacional Humanitario. Fumigar con bioherbicidas es una iniciativa que puede ser de difícil ejecución porque la Corte Constitucional delimitó el uso de glifosato con medidas estrictas, que incluyen evaluar los riesgos a la salud y al medio ambiente en un proceso participativo y técnico, y pasar por consulta previa cuando la fumigación afecte a comunidades étnicas afro e indígenas. Adicionalmente, sacar noventa decretos en noventa días puede chocar con la Constitución, porque el estado de emergencia es un mecanismo extraordinario que solo procede ante hechos graves, imprevistos e inminentes que no puedan ser atendidos con los mecanismos ordinarios del Estado. 
Por otro lado, la JEP fue creada en 2017 y hace parte de la Constitución. El presidente no puede, simplemente, decidir eliminar a una institución creada por el Congreso y que hace parte de la Rama Judicial. Esto requeriría una reforma constitucional que dejaría en el limbo a más de 12 mil comparecientes, entre exguerrilleros y miembros de la Fuerza Pública, que se sometieron a esta jurisdicción bajo la expectativa de un marco de justicia transicional estable.
El artículo 34 de la Constitución de 1991 prohíbe la cadena perpetua. De hecho, la Corte Constitucional declaró inexequible en 2020 un acto legislativo que buscaba que Colombia tuviera cadena perpetua para violadores. La propuesta de De la Espriella, además, va en contra de dos tratados internacionales que exigen que las penas tengan finalidad resocializadora: el Pacto Internacional de Derechos Civiles y Políticos y la Convención Americana sobre Derechos Humanos.
Por último, aunque el país sí necesita una política que le haga frente a la crisis carcelaria y aumente el número de cupos en las cárceles, el populismo punitivo “a la Bukele” no es la solución. Primero, porque, como en El Salvador, podría agravarse el hacinamiento y vulnerarse principios básicos de nuestra Constitución y del Estado de Derecho como el debido proceso —que dice que toda persona debe ser capturada con orden judicial, tener derecho a defensa y a un juicio—, el habeas corpus —que existe para evitar detenciones arbitrarias— y la presunción de inocencia. Segundo, porque el modelo carcelario de Bukele se ha caracterizado por la violación masiva de derechos humanos, como lo muestran informes de organizaciones locales e internacionales como Amnistía Internacional, Human Rights Watch y la Comisión Interamericana de Derechos Humanos."
"rs-003","valencia","Seguridad","Media-alta","Media-baja","Media-alta","Seguridad Democrática 3.0","La candidata Paloma Valencia propone acabar con la Paz Total y militarizar regiones críticas, reanudar la fumigación aérea en zonas con cultivos industriales de hoja de coca y volver a la erradicación forzada. Su apuesta de “Seguridad Democrática” incluye aumentar el gasto en seguridad y defensa en cerca de veinte billones de pesos para que el sector Defensa dé un “salto tecnológico” y tenga más capacidades para combatir el crimen y recuperar los territorios tomados por los armados. Para eso propone el Plan 30-30, que consiste en que haya treinta mil policías y treinta mil soldados nuevos que fortalezcan el pie de fuerza. 
Su apuesta de volver a la erradicación forzosa puede generar conflictos con comunidades y organizaciones cocaleras en las regiones que llevan años pidiendo que la sustitución sea voluntaria. Además, fumigar con bioherbicidas es una iniciativa que puede ser de difícil ejecución porque la Corte Constitucional delimitó el uso de glifosato con medidas estrictas, que incluyen evaluar los riesgos a la salud y al medio ambiente en un proceso participativo y técnico y pasar por consulta previa cuando la fumigación afecte a comunidades étnicas afro e indígenas.
Su propuesta no habla sobre las nuevas dinámicas de la violencia organizada, con grupos armados mucho más fragmentados y con alianzas con grupos transnacionales que representan una amenaza distinta de las de grupos como las antiguas FARC, que tenían una jerarquía más definida y más cohesión interna. 
Por último, la propuesta de aumentar el pie de fuerza con treinta mil soldados y treinta mil policías nuevos no aclara de dónde saldrán los recursos para el gasto de largo plazo en nómina, pensiones y prestaciones de la fuerza pública."
"rs-004","fajardo","Seguridad","Alta","Media","Alta","Seguridad territorial, pero con poco aterrizaje","El candidato propone un “Plan Guardián” en el que habla de desmontar el modelo de negociación de la Paz Total, pero sin cerrar la puerta al diálogo con “condiciones claras”. Quiere presentar un nuevo proyecto de ley de sometimiento para los grupos armados ilegales y propone recuperar el control de las regiones en las que estos tienen injerencia fortaleciendo la fuerza pública, entre otras formas, con mejor inteligencia y mayor coordinación institucional. Al tiempo propone implementar el Acuerdo de Paz con las Farc y atacar el ecosistema de economías criminales más allá del narcotráfico, como la minería ilegal o la deforestación, y blindar las fronteras contra el crimen organizado transnacional.
Aunque es importante fortalecer la inteligencia y la coordinación institucional, en la propuesta de Fajardo no está claro cómo pretende lograrlo. Tampoco define concretamente qué va a hacer en las zonas de disputa en las que dos actores armados combaten. En estas zonas las intervenciones pueden generar mayor violencia, según la Fundación Ideas para la Paz. Además, propone unos planes de desarrollo integral en Catatumbo, Cauca, Chocó, Guaviare y otras regiones con presencia de grupos armados, pero no es claro por qué prioriza esas regiones sobre otras, también críticas, como Arauca, Casanare, Huila y Valle del Cauca, donde la Fundación para el Estado de Derecho ha impulsado acciones populares para exigir la implementación de estrategias integrales de seguridad y una coordinación efectiva entre autoridades nacionales y locales."
"rs-005","lopez","Seguridad","Alta","Media","Alta","Seguridad reformista con el tiempo en contra","Claudia López propone “poner la casa en orden” con diferentes reformas que incluyen fortalecer la fuerza pública, invertir en la modernización tecnológica y capacidad para que el Estado llegue a zonas donde operan los grupos y convertir las fronteras en polos de desarrollo económico para llenar el vacío de poder que aprovechan los armados. También habla de planes de choque, especialmente en el Pacífico y el suroccidente, para invertir en agua y en vías que les quiten oxígeno a las rentas del narcotráfico. López propone crear una “Fiscalía Antimafia” con un régimen de ""mínimas garantías y máximos controles"" para los grandes criminales.
Sus reformas pueden ser muy ambiciosas cuando la crisis de seguridad es acuciante. Además, su propuesta de crear una “Fiscalía Antimafia” puede contradecir el principio de igualdad ante la ley y las garantías del debido proceso, que son fundamentales en nuestro arreglo constitucional, porque estas garantías no dependen de la gravedad del delito. Reducirlas para “los grandes criminales” crearía un régimen de excepción incompatible con el Estado de derecho. López también propone una sanción drástica a la reincidencia y el uso de armas, pero Colombia ya tiene penas altas para delitos graves con armas. El cuello de botella es la impunidad: el 96% de las denuncias por extorsión en 2024 no tuvieron avance judicial. Aumentar las penas sin aumentar la probabilidad de condena no reduce el delito."
"rs-006","cepeda","Institucional","","","","Acuerdo Nacional con riesgo de Constituyente","La propuesta de Cepeda se articula alrededor de un 'Acuerdo Nacional' que busca reunir fuerzas políticas, sociales y económicas en una Mesa de Diálogo Nacional para definir reformas pendientes, modelo de paz y transformaciones territoriales. Entre los mecanismos de implementación de estos eventuales acuerdos está la Asamblea Nacional Constituyente, que representa el riesgo más serio para el Estado de Derecho: el texto del Comité Promotor presentado a la Registraduría plantea una constituyente abierta que podría sustituir por completo la Constitución de 1991. Aunque Cepeda la menciona como una opción entre varias, nunca la ha descartado explícitamente y, como sostiene el jurista Rodrigo Uprimny, es una iniciativa improvisada, innecesaria e inconveniente. Por otro lado, la propuesta de eliminar el Consejo Nacional Electoral es problemática porque no viene acompañada de una alternativa que cumpla sus funciones de vigilancia y control electoral.
En anticorrupción, el candidato propone la creación de la Unidad de Investigación de Macrocorrupción y el fortalecimiento de la Unidad de Información y Análisis Financiero (UIAF), una unidad especializada en macrocorrupción dentro de la Fiscalía con metodologías de macrocriminalidad, un fondo de reparación a víctimas de la corrupción alimentado con bienes expropiados, y un sistema de alertas tempranas que articula bases de datos y trazabilidad del gasto. El enfoque sistémico de investigación y lucha contra la corrupción es interesante pero no hay una secuencia u orden operativo para ponerlo a funcionar."
"rs-007","espriella","Institucional","","","","Riesgo de excepcionalidad y propuestas constitucionalmente inviables","La propuesta se organiza alrededor de un bloque anticorrupción que dirigiría directamente el Presidente con herramientas de inteligencia financiera, extinción de dominio, blockchain en contratación pública y persecución de flujos ilícitos. También propone una agenda de 'desregulación' o eliminación de trámites, trabas y cargas al sector empresarial, y reducción del tamaño del Estado con fusión de entidades y la política 'una entra y dos salen', que busca eliminar dos regulaciones por cada nueva regulación que entre. La propuesta es más una lista de enunciados que una propuesta de política pública. En justicia, propone la cadena perpetua para violadores de niños y la 'Ley Patriota', un régimen jurídico especial y transitorio para facilitar la captura y judicialización rápida, limitar beneficios en delitos de alto impacto y fortalecer la coordinación entre la Fiscalía, jueces y la Fuerza Pública.
Las medidas anticorrupción hechas directamente desde la Presidencia chocan con la autonomía de la Rama Judicial y de la Fiscalía sin proponer mecanismos de contrapeso claros. La cadena perpetua para violadores de niños requeriría una reforma constitucional y choca con los compromisos de Colombia ante la CIDH y el Pacto Internacional de Derechos Civiles. Además, la Corte Constitucional anuló el Acto Legislativo 01 de 2021, que imponía la cadena perpetua para violadores de niños, por considerar que no se ajustaba a la finalidad resocializadora de la pena y al respeto por la dignidad humana. El régimen especial y transitorio para el sistema judicial corre el riesgo de suspender garantías y vulnerar el debido proceso. Finalmente, la desregulación masiva puede generar vacíos de protección con consecuencias sociales y ambientales."
"rs-008","valencia","Institucional","","","","Reformas a la justicia con interrogantes sobre sus límites","Tiene un enfoque importante en reformas a la justicia: fiscales especializados por estructuras criminales, juzgados itinerantes, 50 nuevas casas de justicia, el modelo 'una familia un solo juez' para mujeres víctimas de violencia doméstica, que tendrían acompañamiento y un solo juez para toda la familia, uso de IA para reducir la congestión en la Rama Judicial, cárceles agropecuarias y protección al denunciante. Plantea regular la protesta social y castigar el vandalismo, y la creación de un 'marco diferencial' para el uso de la fuerza con seguridad jurídica para miembros de la Fuerza Pública. También plantea reducir el tamaño del Estado disminuyendo la cantidad de contratos por prestación de servicios y reducir al máximo el número de ministerios.
Algunas propuestas pueden ser un riesgo para el Estado de Derecho: la protesta social es un derecho fundamental protegido por la Constitución y la Convención Americana sobre Derechos Humanos, y el vandalismo ya está tipificado en el Código Penal. Este tipo de propuestas tienden a usarse contra movilización legítima, y los estándares internacionales advierten contra este tipo de legislación. El 'marco diferencial' para el uso de la fuerza necesita definirse más claramente. Como está planteado, aunque proponga seguridad jurídica, expondría al Estado y a miembros de la Fuerza Pública a responsabilidad penal internacional. Finalmente, la descentralización judicial que propone con los juzgados itinerantes no garantiza autonomía sino vulnerabilidad en territorios controlados por estructuras criminales."
"rs-009","fajardo","Institucional","","","","Plan anticorrupción y reforma a la justicia que exceden las competencias del Ejecutivo","Las propuestas combinan una Agencia Anticorrupción con tablero de transparencia, ley de lobby, y una Unidad de Congelamiento de Activos como medidas contra la corrupción. En la justicia, propone una jurisdicción digital interoperable con IA, un plan nacional de descongestión judicial, una reforma al sistema de selección del Fiscal General, Procurador, Contralor y magistrados, y el fortalecimiento estructural de la Fiscalía. Busca atacar la corrupción de forma preventiva, modernizar la justicia digitalmente y despolitizar los órganos de control.
Varias de estas propuestas exceden las competencias del Ejecutivo. La priorización de delitos, las unidades investigativas especializadas y la coordinación operativa entre Fiscalía, jueces y Policía son atribuciones de la Fiscalía, lo que limita la capacidad del Presidente para imponer estrategias o dirigir su organización y funcionamiento. La reforma al sistema de selección del Fiscal General, Procurador, Contralor y magistrados requeriría reforma constitucional. Por último, las funciones concretas de la Agencia Anticorrupción no están claramente definidas."
"rs-010","lopez","Institucional","","","","Reformas profundas difíciles de materializar","Es una propuesta muy ambiciosa en rediseño institucional del sistema de justicia. Propone un sistema de justicia en tres niveles: antimafia, ordinaria y restaurativa, con una lógica diferenciada según el tipo de actor y delito. Reconoce que no todos los problemas de seguridad y justicia requieren la misma respuesta. Propone también la creación de la Fiscalía Antimafia, la Gendarmería carcelaria en reemplazo del INPEC, la transformación de la Procuraduría y la creación de policías locales en las grandes ciudades.
La propuesta supera las competencias del Ejecutivo y los límites constitucionales. La Fiscalía Antimafia con 'mínimas garantías y máximos controles' contradice el principio de igualdad ante la ley y las garantías del debido proceso. La estructura interna de la Fiscalía es competencia exclusiva del Fiscal General, no del Ejecutivo. Una transición institucional simultánea en justicia y defensa implica desafíos de coordinación muy grandes que no tienen una hoja de ruta operativa clara en el programa."
"rs-011","cepeda","Tierras y Agro","Media-alta","Media","Alta","Profundización de la reforma agraria sin detalles ni ajustes necesarios","Su programa propone continuar y profundizar la reforma agraria de este gobierno repartiendo tierras fértiles hoy concentradas y subutilizadas, restituyendo las que fueron despojadas y acompañando la entrega de tierras con créditos, asistencia técnica, infraestructura y tecnología para lograr soberanía alimentaria. Plantea un programa nacional de bienes y servicios rurales que lleve agua potable, energía eléctrica y vías terciarias al campo, y una red de acopio, cuartos fríos y plantas de transformación administradas por organizaciones campesinas para que las ganancias de cultivar y comercializar los alimentos no se queden solo en las ciudades.
El eje de su propuesta es que los campesinos tengan más participación en el gobierno. Para eso, propone fortalecer el Sistema Nacional de Reforma Agraria. En este sistema están sentadas varias entidades y ministerios, y el candidato busca darles silla a asociaciones campesinas. Entre ellas, las que impulsan las zonas de reserva campesina, que buscan que los pequeños campesinos puedan hacer sus propios planes de desarrollo en esas zonas. Además, quiere impulsar una jurisdicción agraria que resuelva los conflictos de tierras. 
El programa de Cepeda hereda un desafío: promete profundizar una reforma agraria que hoy avanza más lento de lo anunciado. Según cifras del Ministerio de Agricultura, de las 3 millones de hectáreas que el gobierno Petro prometió incluir en el Fondo de Tierras para campesinos sin tierra, que es un punto del Acuerdo de Paz, logró adquirir 779.483. O sea, el 25% de la meta. De esas hectáreas, ha entregado 338.778 hectáreas y más de la mitad están en proceso de titulación. Además, su programa es ante todo narrativo y no aterriza en instrumentos verificables. Eso es un problema serio en un sector donde las brechas son cuantitativas. 
La entrega de tierras, por su parte, se ha chocado con cuellos de botella en la Agencia Nacional de Tierras, denuncias de compras de tierras con sobrecostos multimillonarios, beneficiarios exigiendo títulos y con problemas de coordinación con la Unidad de Restitución de Tierras, que fue creada para devolverles tierra a campesinos despojados de ellas por el conflicto. Para solventar estos obstáculos, Cepeda debe resolver los problemas que aún persisten. 
La reforma agraria de este gobierno, que Cepeda propone profundizar, tiene figuras que afectan la propiedad privada y la competitividad. Como el Decreto 033 de 2025 que mezcló las reglas para que el Estado compre tierras rurales y que hoy permite que la Agencia Nacional de Tierras le pida a un juez expropiar por vía judicial predios en municipios priorizados por la reforma si el dueño del predio no responde a la oferta del Estado en diez días. Es decir, por este decreto un propietario puede perder su tierra solo por quedarse callado: una clara vulneración a los derechos fundamentales al debido proceso y a la propiedad privada. 
Además, aunque la jurisdicción agraria fue creada por un acto legislativo en 2023, todavía falta aprobar una ley en el Congreso que defina las reglas sobre las competencias y facultades de los jueces agrarios. La Corte Constitucional ya le ordenó al Consejo Superior de la Judicatura poner en funcionamiento estos juzgados y tribunales agrarios a partir de 2027, pero mientras eso pasa, no se puede sustituir al juez que hoy resuelve los conflictos de tierras por una jurisdicción que todavía no está definida por la ley, ni por entidades administrativas.
Un desafío fundamental de la política que propone Cepeda es pasar de una dinámica de justicia histórica y de reparación a una que proponga soluciones a la despoblación, envejecimiento, falta de tecnología y de acceso a mercados globales en el campo colombiano."
"rs-012","espriella","Tierras y Agro","Media-baja","Baja","Media","Acelerar la titulación sin medidas claras en el cómo y fortalecer la propiedad privada con riesgos de conflictividad social ","El candidato quiere acabar la política agraria de este gobierno y parte del diagnóstico de que el principal freno al desarrollo rural es la falta de títulos de propiedad. Su propuesta central es apostarle a una titulación masiva para legalizar los predios rurales que hoy están en la informalidad y “volver propietario al campesino” con más seguridad usando a la Fuerza Pública en veredas y corregimientos. En el frente productivo, plantea transformar la agricultura de subsistencia en una industria rentable y de exportación. Propone delimitar la política de agricultura campesina y familiar de la política de la agroindustria y exportaciones, expandiendo la frontera productiva con 1,5 millones de hectáreas nuevas, especialmente en la altillanura. El candidato también habla de hacer una escuela de emprendedores rurales para formar a 100 mil jóvenes en prácticas modernas, con apoyos de crédito, asociatividad y tecnología. También propone bajar los precios de los fertilizantes e invertir en distritos de riego y vías terciarias para que lo producido en el campo pueda salir a tiempo a los mercados.
Aunque el problema de informalidad es real, avanzar en pocos años sobre más de la mitad de los predios informales exigiría duplicar la capacidad institucional de la Agencia Nacional de Tierras y acelerar un catastro multipropósito que, en ocho años, apenas ha cubierto una fracción del territorio. Sin un rediseño operativo serio, esa meta parece inviable. Además, plantear una legalización acelerada sin un diagnóstico detallado de cada predio puede chocar con garantías constitucionales de propiedad y convertirse en una medida difícil de sostener jurídicamente. Por otro lado, usar a la fuerza pública para proteger la propiedad privada, sin mediaciones previas, puede volverse una política criminal de persecución y represión que, aunque es legal si sigue el debido proceso y la proporcionalidad en el uso de la fuerza, puede aumentar la conflictividad social y la violencia, teniendo en cuenta la crisis de seguridad en los territorios. 
Su apuesta por intervenir los precios de fertilizantes es importante en un contexto global de guerras que los ha vuelto más costosos. Pero sin una estrategia clara de focalización y de producción nacional, puede parecerse a experiencias pasadas en las que los subsidios terminaron capturados por intermediarios sin aliviar de fondo los costos del pequeño productor.
Por último, su propuesta de expandir la frontera productiva en más de un millón de hectáreas en la altillanura, plantea riesgos no resueltos en materia de restitución de tierras y se puede traslapar con resguardos y comunidades étnicas."
